,Name,Annotation,Short Name,InChI,MH+ Fragment,MH+ Isotope,fragment/isotope,MV,logD,abs_mob,zeff,RRF_Measured,RRF_Predicted,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,rotatable_bond_count,tpsa,xlogp
34,L-DOPA,,DORA,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",198,,,147.0,-1.96,0.000205,0.724,1.98,2.08,WTDRDQBEARUVNC-LURJTMIESA-N,6047,209.0,197.068808,5,4,14,3,104.0,-2.7
35,O-Acetyl-L-Carnitine,,C2,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3",204,,,197.0,-1.81,0.000311,1.0,5.58,4.47,RDHQFKQIGNGIED-UHFFFAOYSA-N,1,214.0,203.115758,4,0,14,5,66.4,0.4
36,L-Tryptophan,,Trp,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",205,188,3:2,166.0,-1.05,0.000225,0.768,3.55,3.19,QIVBCDIJIAJPQS-VIFPVBQESA-N,6305,245.0,204.089878,3,3,15,3,79.1,-1.1
37,3-Chloro-L-Tyrosine,,ClTyr,"InChI=1S/C9H10ClNO3/c10-6-3-5(1-2-8(6)12)4-7(11)9(13)14/h1-3,7,12H,4,11H2,(H,13,14)",216,218,3:1,160.0,-1.42,0.000199,0.701,3.18,2.79,ACWBBAGYTKWBCD-UHFFFAOYSA-N,119226,212.0,215.034921,4,3,14,3,83.6,-1.8
38,5-Hydroxy-L-Tryptophan,,OHTrp,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)",221,204,5:2,173.0,-1.66,0.000221,0.784,2.46,3.33,LDCYZAJDBXYCGN-UHFFFAOYSA-N,144,272.0,220.084792,4,4,16,3,99.3,-1.2
39,Cystathionine,,Cyst,"InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1",223,,,174.0,-4.8,0.000284,0.822,1.79,2.61,ILRYLPWNYFXEMH-WHFBIAKZSA-N,439258,212.0,222.067428,7,4,14,7,152.0,-6.0
40,3-Nitro-L-Tyrosine,,NTyr,"InChI=1S/C9H10N2O5/c10-6(9(13)14)3-5-1-2-8(12)7(4-5)11(15)16/h1-2,4,6,12H,3,10H2,(H,13,14)/t6-/m0/s1",227,,,163.0,-1.12,0.000193,0.645,2.98,3.0,FBTSQILOGYXGMD-LURJTMIESA-N,65124,278.0,226.058971,6,3,16,3,129.0,-2.0
41,Atenolol,,At,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",267,,,253.0,0.1,0.000225,1.0,8.88,7.33,METKIMKYRPQLGS-UHFFFAOYSA-N,2249,263.0,266.163043,4,3,19,8,84.6,0.2
42,Adenosine,,A,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",268,,,195.0,-1.01,0.00025,1.0,2.94,4.52,OIRDTQYFTABQOQ-KQYNXXCUSA-N,60961,335.0,267.096754,8,4,19,2,140.0,-1.1
43,Metoprolol,b,Meto,"InChI=1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3",268,,,279.0,1.55,0.000223,1.0,36.3,8.87,IUBSYMUCCVWXPE-UHFFFAOYSA-N,4171,215.0,267.183444,4,2,19,9,50.7,1.9
44,Guanosine,,G,"InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1",284,152,1:1,207.0,-1.85,0.000179,1.0,2.82,4.71,NYHBQMYGNKIUIF-UUOKFMHZSA-N,6802,446.0,283.091669,6,5,20,2,155.0,-2.7
45,Oxidized Glutathione,b,GSSG,"InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)",307,,,498.0,-7.89,0.000202,0.942,1.69,15.9,YPZRWBKMTBYPTK-UHFFFAOYSA-N,975,879.0,612.151962,16,10,40,21,368.0,-9.1
46,Quinine,b,Quin,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1",325,163,Mh22+,303.0,3.0,0.000454,2.0,4.38,10.6,LOUPRKONTZGTKE-WZBLMQSHSA-N,3034034,457.0,324.183778,4,1,24,4,45.6,2.9
47,Oxytetracycline,b,Oxytet,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-28,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1",461,,,370.0,-1.0,0.000189,1.0,0.297,12.1,JLGOGFIHBRJQHY-PXOLEDIWSA-N,54715139,1000.0,460.14818,10,7,33,2,202.0,-1.6
