Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp,Match,GENERIC_NAME,CHEMICAL_FORMULA,INCHI_KEY,EXACT_MASS,ALOGPS_LOGP,ALOGPS_LOGS,ALOGPS_SOLUBILITY,MOLECULAR_WEIGHT,SMILES,HMDB_ID,INCHI_IDENTIFIER,JCHEM_ACCEPTOR_COUNT,JCHEM_ACIDIC_PKA,JCHEM_BASIC_PKA,JCHEM_DONOR_COUNT,JCHEM_LOGP,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_POLARIZABILITY,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,IUPAC_NAME,TRADITIONAL_IUPAC_NAME,SYNONYMS
Imidazole-4-acetate,C5H6N2O2,M+H,1414458880.0,"InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)",InChIKey=PRJKNHOMHKJCEJ-UHFFFAOYSA-N,96215.0,116.0,126.042927,3.0,2.0,9.0,C5H6N2O2,2.0,66.0,-0.4,1,Imidazoleacetic acid,C5H6N2O2,InChIKey=PRJKNHOMHKJCEJ-UHFFFAOYSA-N,126.042927446,-0.5,-0.37,53.3 g/L,126.1133,OC(=O)CC1=CN=CN1,HMDB02024,"InChI=1S/C5H6N2O2/c8-5(9)1-4-2-6-3-7-4/h2-3H,1H2,(H,6,7)(H,8,9)",3,3.65,6.78,2,-1.4,-1,11.47,65.98,30.2,2,2-(1H-imidazol-5-yl)acetic acid,3H-imidazol-4-ylacetic acid,1H-Imidazol-4-ylacetic acid;1H-Imidazole-4-acetic acid;4(5)-Imidazoleacetate;4-Imidazoleacetate;4-Imidazoleacetic acid;IAA;IMAC;Imidazol-4-ylacetic acid;Imidazole acetate;Imidazole-4-acetate;Imidazole-4-acetic acid;Imidazolyl-4-acetic acid;IZC;Lopac-I-0375
L-Valine,C5H11NO2,M+H,172742880.0,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N,6287.0,90.4,117.078979,3.0,2.0,8.0,C5H11NO2,2.0,63.3,-2.3,1,L-Valine,C5H11NO2,InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N,117.078978601,-2.3,0.26,214 g/L,117.1463,CC(C)[C@H](N)C(O)=O,HMDB00883,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",3,2.72,9.6,2,-2,0,12.28,63.32,29.49,2,(2S)-2-amino-3-methylbutanoic acid,L-valine,(2S)-2-Amino-3-methylbutanoate;(2S)-2-Amino-3-methylbutanoic acid;(S)-2-amino-3-methyl-Butanoate;(S)-2-amino-3-methyl-Butanoic acid;(S)-2-Amino-3-methylbutanoate;(S)-2-Amino-3-methylbutanoic acid;(S)-2-Amino-3-methylbutyrate;(S)-2-Amino-3-methylbutyric acid;(S)-a-Amino-b-methylbutyrate;(S)-a-Amino-b-methylbutyric acid;(S)-alpha-Amino-beta-methylbutyrate;(S)-alpha-Amino-beta-methylbutyric acid;(S)-Valine;2-Amino-3-methylbutanoate;2-Amino-3-methylbutanoic acid;2-Amino-3-methylbutyrate;2-Amino-3-methylbutyric acid;L-(+)-a-Aminoisovalerate;L-(+)-a-Aminoisovaleric acid;L-(+)-alpha-Aminoisovalerate;L-(+)-alpha-Aminoisovaleric acid;L-a-Amino-b-methylbutyrate;L-a-Amino-b-methylbutyric acid;L-alpha-Amino-beta-methylbutyrate;L-alpha-Amino-beta-methylbutyric acid;L-Valine;Valine
Adenine,C5H5N5,M+H,688367616.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",InChIKey=GFFGJBXGBJISGV-UHFFFAOYSA-N,190.0,127.0,135.054495,4.0,2.0,10.0,C5H5N5,0.0,80.5,-0.1,1,Adenine,C5H5N5,InChIKey=GFFGJBXGBJISGV-UHFFFAOYSA-N,135.054495185,-0.38,-1.1,11.5 g/L,135.1267,NC1=NC=NC2=C1NC=N2,HMDB00034,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",4,10.29,5.32,2,-0.57,0,12.29,80.48,38.22,0,7H-purin-6-amine,adenine,"1,6-Dihydro-6-iminopurine;1H-Purin-6-amine;1H-Purine-6-amine;3,6-Dihydro-6-iminopurine;6-Amino-1H-purine;6-Amino-3H-purine;6-Amino-7H-purine;6-Amino-9H-purine;6-Amino-Purine;6-Aminopurine;9H-Purin-6-amine;9H-Purin-6-yl-amin;9H-Purin-6-ylamine;9H-Purine-6-amine;Ade;Adenin;Adenine;Adeninimine;Vitamin B4"
L-Proline,C5H9NO2,M+H,989021760.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N,145742.0,103.0,115.063329,3.0,2.0,8.0,C5H9NO2,1.0,49.3,-2.5,1,L-Proline,C5H9NO2,InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N,115.063328537,-2.7,0.5,365 g/L,115.1305,OC(=O)[C@@H]1CCCN1,HMDB00162,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",3,1.94,11.33,2,-2.6,0,11.53,49.33,28.06,1,(2S)-pyrrolidine-2-carboxylic acid,L-proline,(-)-(S)-Proline;(-)-2-Pyrrolidinecarboxylate;(-)-2-Pyrrolidinecarboxylic acid;(-)-Proline;(S)-(-)-Proline;(S)-(-)-Pyrrolidine-2-carboxylate;(S)-(-)-Pyrrolidine-2-carboxylic acid;(S)-2-Carboxypyrrolidine;(S)-2-Pyrralidinecarboxylate;(S)-2-Pyrralidinecarboxylic acid;(S)-2-Pyrrolidinecarboxylate;(S)-2-Pyrrolidinecarboxylic acid;(S)-Proline;2-Pyrrolidinecarboxylate;2-Pyrrolidinecarboxylic acid;Proline
Serotonin,C10H12N2O,M+H,321715.21875,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",InChIKey=QZAYGJVTTNCVMB-UHFFFAOYSA-N,5202.0,174.0,176.094963,2.0,3.0,13.0,C10H12N2O,2.0,62.0,0.2,1,Serotonin,C10H12N2O,InChIKey=QZAYGJVTTNCVMB-UHFFFAOYSA-N,176.094963016,0.56,-1.9,2.5 g/L,176.2151,NCCC1=CNC2=CC=C(O)C=C12,HMDB00259,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2",2,9.31,10,3,0.48,1,19.31,62.04,52.35,2,3-(2-aminoethyl)-1H-indol-5-ol,serotonin,3-(2-Aminoethyl)-1H-indol-5-ol;3-(2-Aminoethyl)indol-5-ol;3-(b-Aminoethyl)-5-hydroxyindole;5-HT;5-HTA;5-Hydroxy-3-(b-aminoethyl)indole;5-Hydroxy-tryptamine;5-Hydroxyltryptamine;5-Hydroxytriptamine;5-Hydroxytryptamine;Antemovis;DS substance;Enteramin;Enteramine
Taurine,C2H7NO3S,M+H,9644655.0,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N,1123.0,120.0,125.014664,4.0,2.0,7.0,C2H7NO3S,2.0,88.8,-4.1,1,Taurine,C2H7NO3S,InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N,125.014663785,-2.2,-0.08,105 g/L,125.147,NCCS(O)(=O)=O,HMDB00251,"InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)",4,-1.5,9.34,2,-2.6,0,10.82,80.39,24.61,2,2-aminoethane-1-sulfonic acid,taurine,1-Aminoethane-2-sulfonate;1-Aminoethane-2-sulfonic acid;2-Aminoethanesulfonate;2-Aminoethanesulfonic acid;2-Aminoethylsulfonate;2-Aminoethylsulfonic acid;2-Sulfoethylamine;Aminoethylsulfonate;Aminoethylsulfonic acid;b-Aminoethylsulfonate;b-Aminoethylsulfonic acid;beta-Aminoethylsulfonate;beta-Aminoethylsulfonic acid;Taurine
trans-4-Hydroxy-L-proline,C5H9NO3,M+H,254490064.0,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N,5810.0,125.0,131.058243,4.0,3.0,9.0,C5H9NO3,1.0,69.6,-3.3,1,4-Hydroxyproline,C5H9NO3,InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N,131.058243159,-3.3,0.57,492 g/L,131.1299,O[C@H]1CN[C@@H](C1)C(O)=O,HMDB00725,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",4,1.64,10.62,3,-3.7,0,12.29,69.56,29.38,1,"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",hydroxyproline,"(2S,4R)-4-hydroxy-2-pyrrolidinecarboxylic acid;(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid;(4R)-4-hydroxy-L-proline;4-Hydroxy-2-pyrrolidinecarboxylic acid;4-Hydroxy-L-proline;4-L-Hydroxyproline;delta-Hydroxyproline;Hydroxiproline;Hydroxy-L-proline;Hydroxy-proline;Hydroxyproline;L-4-Hydroxyproline;L-Hydroxyproline;L-Threo-4-hydroxyproline;LS-hydroxyproline;Oxaceprol;trans-4-Hydroxy-L-proline;trans-4-Hydroxyproline;Trans-hydroxyproline;Trans-L-hydroxyproline"
Creatinine,C4H7N3O,M+H,1456343808.0,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",InChIKey=DDRJAANPRJIHGJ-UHFFFAOYSA-N,588.0,151.0,113.058912,1.0,1.0,8.0,C4H7N3O,0.0,58.7,-1.8,1,Creatinine,C4H7N3O,InChIKey=DDRJAANPRJIHGJ-UHFFFAOYSA-N,113.058911861,-1.6,-1.1,9.92 g/L,113.1179,CN1CC(=O)NC1=N,HMDB00562,"InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)",3,13.19,2.96,2,-1.1,0,10.74,56.19,38.81,0,2-imino-1-methylimidazolidin-4-one,creatinine,"1-Methylglycocyamidine;1-Methylhydantoin-2-imide;2-Amino-1-methyl-1,5-dihydroimidazol-4-one;2-Amino-1-methylimidazolin-4-one;Creatine anhydride;Creatinine"
L-Threonine,C4H9NO3,M+H,56371228.0,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N,6288.0,93.3,119.058243,4.0,3.0,8.0,C4H9NO3,2.0,83.6,-2.9,1,L-Threonine,C4H9NO3,InChIKey=AYFVYJQAPQTCCC-GBXIJSLDSA-N,119.058243159,-3,0.6,477 g/L,119.1192,C[C@@H](O)[C@H](N)C(O)=O,HMDB00167,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",4,2.21,9,3,-3.5,0,11.25,83.55,26.46,2,"(2S,3R)-2-amino-3-hydroxybutanoic acid",L-threonine,"(2S,3R)-(-)-Threonine;(2S,3R)-2-Amino-3-hydroxybutyrate;(2S,3R)-2-Amino-3-hydroxybutyric acid;(R-(R*,S*))-2-Amino-3-hydroxybutanoate;(R-(R*,S*))-2-Amino-3-hydroxybutanoic acid;(S)-Threonine;2-Amino-3-hydroxybutanoate;2-Amino-3-hydroxybutanoic acid;2-Amino-3-hydroxybutyrate;2-Amino-3-hydroxybutyric acid;L-(-)-Threonine;L-2-Amino-3-hydroxybutyrate;L-2-Amino-3-hydroxybutyric acid;L-alpha-Amino-beta-hydroxybutyrate;L-alpha-Amino-beta-hydroxybutyric acid;Threonin;Threonine;[R-(R*,S*)]-2-amino-3-hydroxy-Butanoate;[R-(R*,S*)]-2-amino-3-hydroxy-Butanoic acid;[R-(R*,S*)]-2-Amino-3-hydroxybutanoate;[R-(R*,S*)]-2-Amino-3-hydroxybutanoic acid"
L-Aspartate,C4H7NO4,M+H,2516157.75,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-N,5960.0,133.0,133.037508,5.0,3.0,9.0,C4H7NO4,3.0,101.0,-2.8,1,L-Aspartic acid,C4H7NO4,InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-N,133.037507717,-3.5,0.03,142 g/L,133.1027,N[C@@H](CC(O)=O)C(O)=O,HMDB00191,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",5,1.7,9.61,3,-3.5,-1,11.4,100.62,26.53,3,(2S)-2-aminobutanedioic acid,L-aspartic acid, Asp;(+)-Aspartate;(+)-Aspartic acid;(2S)-Aspartate;(2S)-Aspartic acid;(L)-Aspartate;(L)-Aspartic acid;(R)-2-aminosuccinate;(S)-(+)-Aspartate;(S)-(+)-Aspartic acid;(S)-2-aminosuccinate;(S)-2-aminosuccinic acid;(S)-amino-Butanedioate;(S)-amino-Butanedioic acid;(S)-Aminobutanedioate;(S)-Aminobutanedioic acid;(S)-Aspartate;(S)-Aspartic acid;2-Amino-3-methylsuccinate;2-Amino-3-methylsuccinic acid;2-Aminosuccinate;2-Aminosuccinic acid;alpha-Aminosuccinate;alpha-Aminosuccinic acid;Aminosuccinate;Asparagate;Asparagic acid;Asparaginate;Asparaginic acid;Asparatate;Aspartate;H-Asp-OH;L-(+)-Aspartate;L-(+)-Aspartic acid;L-Aminosuccinate;L-Aminosuccinic acid;L-Asparagate;L-Asparagic acid;L-Asparaginate;L-Asparaginic acid;L-Aspartate
N-Acetyl-D-glucosamine,C8H15NO6,M+H,57794608.0,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1",InChIKey=OVRNDRQMDRJTHS-RTRLPJTCSA-N,439174.0,235.0,221.089937,6.0,5.0,15.0,C8H15NO6,2.0,119.0,-1.7,1,N-Acetyl-D-glucosamine,C8H15NO6,InChIKey=OVRNDRQMDRJTHS-RTRLPJTCSA-N,221.089937217,-2.6,0.06,254 g/L,221.2078,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,HMDB00215,"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1",6,11.6,-0.78,5,-3.2,0,20.56,119.25,47.02,2,"N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",GlcNAc,"2-(Acetylamino)-2-deoxyhexose;2-Acetamido-2-deoxy-D-glucopyranose;2-Acetamido-2-deoxy-D-glucose;2-Acetamido-2-deoxyglucose;2-Acetamido-D-glucose;2-Acetylamino-2-deoxy-D-glucose;Acetylglucosamine;Glcnac;N-Acetylchitosamine;N-Acetylglucosamine;N-[(3R,4R,5S,6R)-2,4,5-trihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide"
L-Glutamine,C5H10N2O3,M+H,171904640.0,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N,5961.0,146.0,146.069142,4.0,3.0,10.0,C5H10N2O3,4.0,106.0,-3.1,1,L-Glutamine,C5H10N2O3,InChIKey=ZDXPYRJPNDTMRX-VKHMYHEASA-N,146.069142196,-3.3,-0.17,97.8 g/L,146.1445,N[C@@H](CCC(N)=O)C(O)=O,HMDB00641,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",4,2.15,9.31,3,-4,0,13.85,106.41,33.11,4,(2S)-2-amino-4-carbamoylbutanoic acid,L-glutamine,"(2S)-2,5-diamino-5-oxopentanoate;(2S)-2,5-diamino-5-oxopentanoic acid;(2S)-2-amino-4-carbamoylbutanoate;(2S)-2-amino-4-carbamoylbutanoic acid;(S)-2,5-Diamino-5-oxopentanoate;(S)-2,5-Diamino-5-oxopentanoic acid;2-Aminoglutaramic acid;Cebrogen;gamma-Glutamine;Glavamin;Glumin;Glutamic acid 5-amide;Glutamic acid amide;Glutamine;L-(+)-Glutamine;L-2-Aminoglutaramic acid;L-2-Aminoglutaramidic acid;L-Glutamic acid 5-amide;L-Glutamic acid gamma-amide;L-Glutamid;L-Glutamide;L-Glutamin;L-Glutamine;L-Glutaminsaeure-5-amid;Levoglutamid;Levoglutamida;Levoglutamide;Levoglutamidum;Levoglutamina;Polyglutamine;Stimulina"
beta-Alanine,C3H7NO2,M+H,61998672.0,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N,239.0,52.8,89.047678,3.0,2.0,6.0,C3H7NO2,2.0,63.3,-3.0,1,Beta-Alanine,C3H7NO2,InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N,89.047678473,-3.3,0.74,494 g/L,89.0932,NCCC(O)=O,HMDB00056,"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)",3,4.08,10.31,2,-3.2,0,8.62,63.32,20.7,2,3-aminopropanoic acid,β-alanine,2-Carboxyethylamine;3-Amino-Propanoate;3-Amino-Propanoic acid;3-Aminopropanoate;3-Aminopropanoic acid;3-Aminopropionate;3-Aminopropionic acid;Abufene;B-Alanine;b-Aminopropanoate;b-Aminopropanoic acid;b-Aminopropionate;b-Aminopropionic acid;beta Alanine;beta-Alanine;beta-Aminopropanoate;beta-Aminopropanoic acid;beta-Aminopropionate;beta-Aminopropionic acid;Omega-Aminopropionate;Omega-Aminopropionic acid
L-Asparagine,C4H8N2O3,M+H,11943055.0,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,6267.0,134.0,132.053492,4.0,3.0,9.0,C4H8N2O3,3.0,106.0,-3.4,1,L-Asparagine,C4H8N2O3,InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,132.053492132,-3.4,0.1,168 g/L,132.1179,N[C@@H](CC(N)=O)C(O)=O,HMDB00168,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",4,2,8.43,3,-4.3,0,11.81,106.41,28.35,3,(2S)-2-amino-3-carbamoylpropanoic acid,L-asparagine,"(-)-Asparagine;(S)-2,4-Diamino-4-oxobutanoate;(S)-2,4-Diamino-4-oxobutanoic acid;(S)-Asparagine;2-Aminosuccinamate;2-Aminosuccinamic acid;a-Aminosuccinamate;a-Aminosuccinamic acid;Agedoite;alpha Amminosuccinamate;alpha Amminosuccinamic acid;alpha-Aminosuccinamate;alpha-Aminosuccinamic acid;Altheine;Asn;Asparagine;Asparagine acid;Asparamide;Aspartamate;Aspartamic acid;Aspartic acid amide;Aspartic acid b-amide;Aspartic acid beta amide;B2,4-(S)-diamino-4-oxo-utanoate;B2,4-(S)-diamino-4-oxo-utanoic acid;Crystal VI;L-2,4-Diamino-4-oxobutanoate;L-2,4-Diamino-4-oxobutanoic acid;L-Asparagine;L-Aspartamine;L-b-Asparagine;L-beta-Asparagine"
dGMP,C10H14N5O7P,M+H,6929429.0,"InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1",InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-N,65059.0,568.0,347.063084,8.0,5.0,23.0,C10H14N5O7P,4.0,182.0,-2.9,1,2'-Deoxyguanosine 5'-monophosphate,C10H14N5O7P,InChIKey=LTFMZDNNPPEQNG-KVQBGUIXSA-N,347.063084339,-1.9,-2.1,2.7 g/L,347.2212,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1,HMDB01044,"InChI=1S/C10H14N5O7P/c11-10-13-8-7(9(17)14-10)12-3-15(8)6-1-4(16)5(22-6)2-21-23(18,19)20/h3-6,16H,1-2H2,(H2,18,19,20)(H3,11,13,14,17)/t4-,5+,6+/m0/s1",9,1.06,1.74,5,-2,-2,30.02,181.52,73.98,4,"{[(2R,3S,5R)-5-(2-amino-6-oxo-6,9-dihydro-1H-purin-9-yl)-3-hydroxyoxolan-2-yl]methoxy}phosphonic acid","[(2R,3S,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3-hydroxyoxolan-2-yl]methoxyphosphonic acid",2'-Deoxy-5'-GMP;2'-Deoxy-5'-guanylate;2'-Deoxy-5'-guanylic acid;2'-Deoxy-GMP;2'-Deoxy-Guanosine 5'-(dihydrogen phosphate);2'-Deoxy-Guanosine 5'-phosphate;2'-Deoxy-Guanosine phosphate;2'-Deoxyguanosine 5'-monophosphate;2'-Deoxyguanosine 5'-phosphate;2'-Deoxyguanosine-5'-phosphate;2'-Deoxyguanylate;2'-Deoxyguanylic acid;2'-DG-5'-MP;2'-dGMP;Deoxy-GMP;Deoxyguanosine 5'-monophosphate;Deoxyguanosine 5'-phosphate;Deoxyguanosine-phosphate;dGMP;Guanine riboside
L-Serine,C3H7NO3,M+H,7924311.5,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N,5951.0,72.6,105.042593,4.0,3.0,7.0,C3H7NO3,2.0,83.6,-3.1,1,L-Serine,C3H7NO3,InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N,105.042593095,-3.4,0.66,480 g/L,105.0926,N[C@@H](CO)C(O)=O,HMDB00187,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",4,2.03,8.93,3,-3.9,0,9.45,83.55,22.04,2,(2S)-2-amino-3-hydroxypropanoic acid,L-serine,(-)-Serine;(S)-2-amino-3-hydroxy-Propanoate;(S)-2-amino-3-hydroxy-Propanoic acid;(S)-2-Amino-3-hydroxypropanoate;(S)-2-Amino-3-hydroxypropanoic acid;(S)-a-Amino-b-hydroxypropionate;(S)-a-Amino-b-hydroxypropionic acid;(S)-alpha-Amino-beta-hydroxypropionate;(S)-alpha-Amino-beta-hydroxypropionic acid;(S)-b-Amino-3-hydroxypropionate;(S)-b-Amino-3-hydroxypropionic acid;(S)-beta-Amino-3-hydroxypropionate;(S)-beta-Amino-3-hydroxypropionic acid;(S)-Serine;2-Amino-3-hydroxypropanoate;2-Amino-3-hydroxypropanoic acid;3-Hydroxy-L-Alanine;b-Hydroxy-L-alanine;beta-Hydroxy-L-alanine;beta-Hydroxyalanine;L-(-)-Serine;L-3-Hydroxy-2-aminopropionate;L-3-Hydroxy-2-aminopropionic acid;L-3-Hydroxy-alanine;L-Ser;Serine
L-Citrulline,C6H13N3O3,M+H,82809048.0,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,9750.0,171.0,175.095691,4.0,4.0,12.0,C6H13N3O3,5.0,118.0,-4.3,1,Citrulline,C6H13N3O3,InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N,175.095691297,-3.3,-0.9,21.8 g/L,175.1857,N[C@@H](CCCNC(N)=O)C(O)=O,HMDB00904,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",4,2.27,9.23,4,-3.9,0,17.35,118.44,41.33,5,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,L-citrulline,(2S)-2-amino-5-(carbamoylamino)pentanoate;(2S)-2-amino-5-(carbamoylamino)pentanoic acid;(S)-2-amino-5-(aminocarbonyl)aminopentanoate;(S)-2-amino-5-(aminocarbonyl)aminopentanoic acid;(S)-2-Amino-5-ureidopentanoate;(S)-2-Amino-5-ureidopentanoic acid;2-Amino-5-uredovalerate;2-Amino-5-uredovaleric acid;2-Amino-5-ureidovalerate;2-Amino-5-ureidovaleric acid;A-Amino-D-ureidovalerate;A-Amino-D-ureidovaleric acid;alpha-Amino-delta-ureidovalerate;alpha-Amino-delta-ureidovaleric acid;alpha-Amino-gamma-ureidovalerate;alpha-Amino-gamma-ureidovaleric acid;Amino-ureidovalerate;Amino-ureidovaleric acid;CIR;CIT;Cytrulline;D-Ureidonorvaline;delta-Ureidonorvaline;DL-citrulline;Gammaureidonorvaline;H-Cit-oh;L(+)-2-Amino-5-ureidovalerate;L(+)-2-Amino-5-ureidovaleric acid;L(+)-Citrulline;L-2-Amino-5-ureido-valerate;L-2-Amino-5-ureido-valeric acid;L-2-Amino-5-ureidovalerate;L-2-Amino-5-ureidovaleric acid;L-Citrulline;L-Cytrulline;L-N5-carbamoyl-Ornithine;N()-Carbamylornithine;N(5)-(Aminocarbonyl)-DL-Ornithine;N(delta)-Carbamylornithine;N-Carbamylornithine;N5-(Aminocarbonyl)-L-ornithine;N5-(aminocarbonyl)-Ornithine;N5-(Aminocarbonyl)ornithine;N5-Carbamoyl-L-ornithine;N5-carbamoylornithine;N5-carbamylornithine;N<SUP>5</SUP>-(aminocarbonyl)ornithine;ND-carbamylornithine;Ndelta-carbamy-ornithine;Ndelta-carbamylornithine;Ngamma-carbamylornithine;Sitrulline;Ureidonorvaline;Ureidovalerate;Ureidovaleric acid
