Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp
L-Tyrosine,C9H11NO3,M+H,10380698.0,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",OUYCCCASQSFEME-QMMMGPOBSA-N,6057,176.0,181.073893,4,3,13,C9H11NO3,3,83.6,-2.3
Betaine,C5H11NO2,M+H,2305870592.0,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",KWIUHFFTVRNATP-UHFFFAOYSA-N,247,87.6,117.078979,2,0,8,C5H11NO2,1,40.1,0.5
L-2-Aminoadipate,C6H11NO4,M+H,13307153.0,"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m0/s1",OYIFNHCXNCRBQI-BYPYZUCNSA-N,92136,157.0,161.068808,5,3,11,C6H11NO4,5,101.0,-3.1
4-(beta-Acetylaminoethyl)imidazole,C7H11N3O,M+H,3853109504.0,"InChI=1S/C7H11N3O/c1-6(11)9-3-2-7-4-8-5-10-7/h4-5H,2-3H2,1H3,(H,8,10)(H,9,11)",XJWPISBUKWZALE-UHFFFAOYSA-N,69602,138.0,153.090212,2,2,11,C7H11N3O,3,57.8,-0.4
1-Aminocyclopropane-1-carboxylate,C4H7NO2,M+H,7787104.0,"InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)",PAJPWUMXBYXFCZ-UHFFFAOYSA-N,535,106.0,101.047678,3,2,7,C4H7NO2,1,63.3,-2.8
L-Carnitine,C7H15NO3,M+H,392532896.0,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",PHIQHXFUZVPYII-ZCFIWIBFSA-N,10917,134.0,161.105193,3,1,11,C7H15NO3,3,60.4,-0.2
Menadione,C11H8O2,M+H,424662.84375,"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3",MJVAVZPDRWSRRC-UHFFFAOYSA-N,4055,289.0,172.052429,2,0,13,C11H8O2,0,34.1,2.2
L-Alanine,C3H7NO2,M+H,5766255.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N,5950,61.8,89.047678,3,2,6,C3H7NO2,1,63.3,-3.0
dAMP,C10H14N5O6P,M+H,978920.6875,"InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1",KHWCHTKSEGGWEX-RRKCRQDMSA-N,12599,452.0,331.06817,10,4,22,C10H14N5O6P,4,166.0,-2.2
4-Aminobutanoate,C4H9NO2,M+H,34442380.0,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",BTCSSZJGUNDROE-UHFFFAOYSA-N,119,62.7,103.063329,3,2,7,C4H9NO2,3,63.3,-3.2
L-homoserine,C4H9NO3,M+H,22323016.0,"InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1",UKAUYVFTDYCKQA-VKHMYHEASA-N,12647,83.4,119.058243,4,3,8,C4H9NO3,3,83.6,-4.4
AMP,C10H14N5O7P,M+H,706209.0625,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",UDMBCSSLTHHNCD-KQYNXXCUSA-N,6083,481.0,347.063084,11,5,23,C10H14N5O7P,4,186.0,-3.5
cytosine,C4H5N3O,M+H,668072000.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",OPTASPLRGRRNAP-UHFFFAOYSA-N,597,170.0,111.043262,2,2,8,C4H5N3O,0,67.5,-1.7
N-Acetylornithine,C7H14N2O3,M+H,11855681.0,"InChI=1S/C7H14N2O3/c1-5(10)9-6(7(11)12)3-2-4-8/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1",JRLGPAXAGHMNOL-LURJTMIESA-N,439232,170.0,174.100442,4,3,12,C7H14N2O3,5,92.4,-4.8
1-Aminopropan-2-ol,C3H9NO,M+H,629028352.0,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3",HXKKHQJGJAFBHI-UHFFFAOYSA-N,4,22.9,75.068414,2,2,5,C3H9NO,1,46.2,-1.0
Ala-Gly,C5H10N2O3,M+H,11377892.0,"InChI=1S/C5H10N2O3/c1-3(6)5(10)7-2-4(8)9/h3H,2,6H2,1H3,(H,7,10)(H,8,9)",CXISPYVYMQWFLE-UHFFFAOYSA-N,79094,146.0,146.069142,4,3,10,C5H10N2O3,3,92.4,-3.7
Glycylglycine,C4H8N2O3,M+H,1689478.75,"InChI=1S/C4H8N2O3/c5-1-3(7)6-2-4(8)9/h1-2,5H2,(H,6,7)(H,8,9)",YMAWOPBAYDPSLA-UHFFFAOYSA-N,11163,123.0,132.053492,4,3,9,C4H8N2O3,3,92.4,-2.9
S-Adenosyl-L-homocysteine,C14H20N6O5S,M+H,5113387.0,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",ZJUKTBDSGOFHSH-WFMPWKQPSA-N,439155,504.0,384.121589,11,5,26,C14H20N6O5S,7,208.0,-3.5
D-Glucosamine 6-phosphate,C6H14NO8P,M+H,155270.984375,"InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)/t2-,3-,4-,5-,6+/m1/s1",XHMJOUIAFHJHBW-UKFBFLRUSA-N,439217,282.0,259.045703,9,6,16,C6H14NO8P,3,163.0,-6.8
HEPES,C8H18N2O4S,M+H,150455344.0,"InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)",JKMHFZQWWAIEOD-UHFFFAOYSA-N,23831,267.0,238.098728,6,2,15,C8H18N2O4S,5,89.5,-4.0
Eflornithine,C6H12F2N2O2,M+H,46845300.0,"InChI=1S/C6H12F2N2O2/c7-4(8)6(10,5(11)12)2-1-3-9/h4H,1-3,9-10H2,(H,11,12)",VLCYCQAOQCDTCN-UHFFFAOYSA-N,3009,166.0,182.086684,6,3,12,C6H12F2N2O2,5,89.3,-2.9
N(pi)-Methyl-L-histidine,C7H11N3O2,M+H,125733048.0,"InChI=1S/C7H11N3O2/c1-10-4-9-3-5(10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1",JDHILDINMRGULE-LURJTMIESA-N,64969,174.0,169.085127,4,2,12,C7H11N3O2,3,81.1,-3.3
Thiopurine S-methylether,C6H6N4S,M+H,1295526400.0,"InChI=1S/C6H6N4S/c1-11-6-4-5(8-2-7-4)9-3-10-6/h2-3H,1H3,(H,7,8,9,10)",UIJIQXGRFSPYQW-UHFFFAOYSA-N,5778,143.0,166.031317,4,1,11,C6H6N4S,1,79.8,1.1
L-Ornithine,C5H12N2O2,M+H,275579.6875,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1",AHLPHDHHMVZTML-BYPYZUCNSA-N,6262,95.0,132.089878,4,3,9,C5H12N2O2,4,89.3,-4.4
Dopamine,C8H11NO2,M+H,623460.5625,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2",VYFYYTLLBUKUHU-UHFFFAOYSA-N,681,119.0,153.078979,3,3,11,C8H11NO2,2,66.5,-1.0
Phenylacetylglycine,C10H11NO3,M+H,247574416.0,"InChI=1S/C10H11NO3/c12-9(11-7-10(13)14)6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,12)(H,13,14)",UTYVDVLMYQPLQB-UHFFFAOYSA-N,68144,209.0,193.073893,3,2,14,C10H11NO3,4,66.4,0.7
Biotin,C10H16N2O3S,M+H,331790.03125,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",YBJHBAHKTGYVGT-ZKWXMUAHSA-N,171548,298.0,244.088163,4,3,16,C10H16N2O3S,5,104.0,0.3
Phenylpyruvate,C9H8O3,M+H,827050.4375,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)",BTNMPGBKDVTSJY-UHFFFAOYSA-N,997,180.0,164.047344,3,1,12,C9H8O3,3,54.4,1.3
Taurocholate,C26H45NO7S,M+H,2597598.25,"InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21-,22+,24+,25+,26-/m1/s1",WBWWGRHZICKQGZ-HZAMXZRMSA-N,6675,891.0,515.291674,7,5,35,C26H45NO7S,7,153.0,2.2
N-Acetylglutamine,C7H12N2O4,M+H,390619584.0,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)",KSMRODHGGIIXDV-UHFFFAOYSA-N,25561,227.0,188.079707,4,3,13,C7H12N2O4,5,110.0,-1.4
Pantothenate,C9H17NO5,M+H,281840096.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",GHOKWGTUZJEAQD-ZETCQYMHSA-N,6613,239.0,219.110673,5,4,15,C9H17NO5,6,107.0,-1.1
N-Acetylneuraminate,C11H19NO9,M+H,863288.3125,"InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11?/m0/s1",SQVRNKJHWKZAKO-LUWBGTNYSA-N,439197,403.0,309.105981,9,7,21,C11H19NO9,5,177.0,-3.5
D-Glucuronolactone,C6H8O6,M+H,4849141.5,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h1-5,8-10H/t2-,3+,4-,5+/m0/s1",UYUXSRADSPPKRZ-SKNVOMKLSA-N,92283,202.0,176.032088,6,3,12,C6H8O6,2,104.0,-1.8
thymine,C5H6N2O2,M+H,1049685.125,"InChI=1S/C5H6N2O2/c1-3-2-6-5(9)7-4(3)8/h2H,1H3,(H2,6,7,8,9)",RWQNBRDOKXIBIV-UHFFFAOYSA-N,1135,195.0,126.042927,2,2,9,C5H6N2O2,0,58.2,-0.6
Uracil,C4H4N2O2,M+H,308348.28125,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",ISAKRJDGNUQOIC-UHFFFAOYSA-N,1174,161.0,112.027277,2,2,8,C4H4N2O2,0,58.2,-1.1
